ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Sample	eDNAindex	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
ASV_000002	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica	E427	0.197429440732802	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002536	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	NA	E427	0.510793824956853	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002490	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	NA	E427	0.135250622110576	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002549	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	Parasagitta	Parasagitta elegans	E427	0.043293772349928	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002533	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA	E427	0.0136284982077456	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002522	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA	E427	0.016999621910914	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_000017	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Galeorhinus	Galeorhinus galeus	E427	0.997716751600973	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_000005	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Megaptera	Megaptera novaeangliae	E427	0.401817781159056	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002459	Eukaryota	Chordata	Mammalia	Artiodactyla	NA	NA	NA	E427	0.475422295615023	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
ASV_002437	Eukaryota	Chordata	Mammalia	NA	NA	NA	NA	E427	0.00839577317834955	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
