ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Sample	eDNAindex	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
ASV_094512	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus theta	E373	0.546238440389903	51.716	-130.644	E373	QC74	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	slope	3.6	883.4	74	2.6	9.973	32.032	261.6	2015.9	2161.4	7.7318	NA	17.1	1.11	8.9	0.2	0.11	4.532	1.656370647	51.716	1.8	NA	NA	NA	NA	NA	NA	NA	1000
ASV_094441	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	NA	E373	0.00866022861326461	51.716	-130.644	E373	QC74	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	slope	3.6	883.4	74	2.6	9.973	32.032	261.6	2015.9	2161.4	7.7318	NA	17.1	1.11	8.9	0.2	0.11	4.532	1.656370647	51.716	1.8	NA	NA	NA	NA	NA	NA	NA	1000
ASV_010785	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus gorbuscha	E373	1	51.716	-130.644	E373	QC74	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	slope	3.6	883.4	74	2.6	9.973	32.032	261.6	2015.9	2161.4	7.7318	NA	17.1	1.11	8.9	0.2	0.11	4.532	1.656370647	51.716	1.8	NA	NA	NA	NA	NA	NA	NA	1000
ASV_018062	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	NA	E373	0.41156652985514	51.716	-130.644	E373	QC74	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	slope	3.6	883.4	74	2.6	9.973	32.032	261.6	2015.9	2161.4	7.7318	NA	17.1	1.11	8.9	0.2	0.11	4.532	1.656370647	51.716	1.8	NA	NA	NA	NA	NA	NA	NA	1000
ASV_094417	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	E373	0.0540980763137137	51.716	-130.644	E373	QC74	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	slope	3.6	883.4	74	2.6	9.973	32.032	261.6	2015.9	2161.4	7.7318	NA	17.1	1.11	8.9	0.2	0.11	4.532	1.656370647	51.716	1.8	NA	NA	NA	NA	NA	NA	NA	1000
ASV_093864	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	E412_2T	0.164240963855422	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
ASV_093902	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	NA	E412_2T	0.331084337349398	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
ASV_094667	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Allosmerus	Allosmerus elongatus	E412_2T	0.196761285298121	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
ASV_011837	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Thaleichthys	Thaleichthys pacificus	E412_2T	0.193161741089437	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
ASV_094692	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	Citharichthys sordidus	E412_2T	0.162313253012048	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
