Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.97,14.4892,31.6613,23.5074,6.83,297.95,0.079,134.94,64.39
4,3.97,15.1516,31.6338,23.3459,7.05,307.51,0.077,134.04,63.77
5,4.96,15.3506,31.6197,23.2921,7.11,310.41,0.079,134.03,62.83
6,5.95,15.3868,31.6128,23.2789,7.14,311.83,0.081,133.99,61.64
7,6.94,15.3594,31.6096,23.2824,7.09,309.49,0.081,133.94,60.5
8,7.93,14.9414,31.6299,23.388,6.95,303.08,0.079,134.05,60.01
9,8.92,13.7009,31.7017,23.7005,6.71,292.8,0.09,134.29,58.85
10,9.92,12.6793,31.7323,23.9248,6.13,267.41,0.099,134.58,57.71
11,10.91,11.5963,31.8571,24.2233,5.79,252.48,0.076,134.99,57
12,11.9,10.9833,31.9696,24.4198,5.53,241.3,0.067,135.26,55.99
13,12.89,10.688,32.0263,24.5152,5.27,229.56,0.063,135.41,54.53
14,13.88,10.1965,32.128,24.6777,5.07,220.99,0.061,135.64,53.93
15,14.87,10.0338,32.1628,24.732,4.96,216.16,0.059,135.81,53.08
16,15.86,9.9453,32.1858,24.7645,4.9,213.38,0.058,135.81,51.94
17,16.86,9.926,32.1935,24.7737,4.84,210.9,0.057,135.85,50.54
18,17.85,9.9061,32.1998,24.7819,4.79,208.95,0.056,135.89,49.99
19,18.84,9.8428,32.2137,24.8032,4.76,207.46,0.056,136.01,49.11
20,19.83,9.7977,32.223,24.8178,4.71,205.18,0.056,136,47.75
21,20.82,9.7235,32.2355,24.8396,4.62,201.16,0.055,136.09,46.49
22,21.81,9.653,32.242,24.8562,4.53,197.47,0.054,136.15,45.84
23,22.8,9.557,32.2584,24.8845,4.46,194.5,0.054,136.22,44.94
24,23.8,9.4085,32.2702,24.9174,4.27,186.17,0.053,136.31,43.74
25,24.79,9.2175,32.2636,24.9425,4.03,175.57,0.051,136.46,42.87
26,25.78,9.0547,32.2567,24.9626,3.81,166.1,0.05,136.59,41.96
27,26.77,8.958,32.2711,24.9888,3.7,161.19,0.05,136.69,40.76
28,27.76,8.864,32.2828,25.0124,3.58,156.07,0.049,136.75,39.55
29,28.75,8.8347,32.2854,25.019,3.51,152.96,0.048,136.81,38.86
30,29.74,8.7954,32.2903,25.0289,3.47,151.18,0.048,136.82,37.97
31,30.74,8.7537,32.3048,25.0465,3.43,149.57,0.048,136.88,36.82
32,31.73,8.7317,32.3353,25.0738,3.41,148.39,0.047,136.87,35.64
33,32.72,8.7211,32.4137,25.1368,3.4,148.25,0.046,136.86,34.64
34,33.71,8.7483,32.4663,25.1739,3.42,148.99,0.047,136.9,33.63
35,34.7,8.7921,32.5412,25.2259,3.44,149.64,0.047,136.81,32.64
36,35.69,8.7941,32.6233,25.2898,3.4,148.01,0.045,136.81,31.71
37,36.68,8.7182,32.6767,25.3433,3.35,145.79,0.045,136.84,30.73
38,37.68,8.6694,32.705,25.3729,3.29,143.26,0.045,136.87,29.51
39,38.67,8.5847,32.763,25.4312,3.18,138.66,0.045,136.88,28.57
40,39.66,8.4397,32.8513,25.5223,3.06,133.3,0.044,136.93,27.66
41,40.65,8.3829,32.8823,25.5551,3,130.68,0.044,136.97,26.68
42,41.64,8.349,32.9003,25.5743,2.97,129.23,0.044,136.97,25.52
43,42.63,8.3432,32.9035,25.5777,2.94,128.11,0.045,136.94,24.55
44,43.62,8.3357,32.9058,25.5806,2.93,127.69,0.044,136.98,23.73
45,44.61,8.3346,32.9061,25.581,2.92,127.35,0.045,136.93,22.74
46,45.61,8.3345,32.9065,25.5814,2.92,127.26,0.045,136.91,21.51
47,46.6,8.3344,32.9065,25.5814,2.92,127.15,0.044,136.86,20.51
48,47.59,8.3336,32.9066,25.5816,2.92,127.17,0.044,136.89,19.53
49,48.58,8.3333,32.9066,25.5817,2.92,127.02,0.045,136.85,18.51
50,49.57,8.3333,32.9065,25.5816,2.92,126.96,0.045,136.82,17.42
51,50.56,8.3333,32.9066,25.5817,2.92,126.99,0.045,136.8,16.5
52,51.55,8.3335,32.9064,25.5815,2.92,127.06,0.045,136.78,15.48
53,52.55,8.3341,32.906,25.5811,2.91,126.84,0.046,136.74,14.53
54,53.54,8.3342,32.9057,25.5809,2.91,126.91,0.044,136.75,13.57
55,54.53,8.3349,32.9057,25.5808,2.92,127.01,0.045,136.71,12.53
56,55.52,8.332,32.9059,25.5814,2.92,126.97,0.045,136.66,11.61
57,56.51,8.332,32.9059,25.5814,2.91,126.89,0.045,136.68,10.43
58,57.5,8.332,32.9054,25.5811,2.9,126.13,0.044,136.17,8.83
