Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
E370	51.711	-130.642	E370	QC74	NA	Line1	day	undersat_arg	benthic	deep	wayNorth	offshore	slope	876.7	10.3	74	1.6	4.062	34.242	21.4	2350.7	2340.3	7.278	NA	115	3.13	41.2	0.01	0.03	2.946	0.490142082	51.711	NA	NA	NA	NA	NA	NA	NA	NA	1000
E373	51.716	-130.644	E373	QC74	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	slope	3.6	883.4	74	2.6	9.973	32.032	261.6	2015.9	2161.4	7.7318	NA	17.1	1.11	8.9	0.2	0.11	4.532	1.656370647	51.716	1.8	NA	NA	NA	NA	NA	NA	NA	1000
E378	52.399	-129.051	E378	QC2	NA	Line1	day	oversat_arg	benthic	upper100	wayNorth	near	shelf	35	10	2	10.7	9.569	31.86	258	2007.5	2148.7	7.7716	NA	16	1.06	8.1	0.21	1.27	4.251	1.603220473	52.399	NA	47200	3560	176	67.1	3030000	1920000	1420000	1000
E380	52.398	-129.052	E380	QC2	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	near	shelf	3.6	41.4	2	10.8	12.933	30.422	306.3	1867.6	2060.7	7.9227	NA	12	0.53	1.6	0.08	0.05	4.909	2.12667211	52.398	4.5	308000	53800	2390	87.7	5040000	2940000	3040000	1000
E384.3B	52.018	-129.971	E384	QC43	NA	Line1	day	undersat_arg	benthic	deep	wayNorth	offshore	shelf	119.8	10.2	43	15.9	6.648	33.286	140.1	2191.8	2234.2	7.4485	NA	47	2.21	28.7	0.07	0.07	3.224	0.832924522	52.018	NA	554	339	0	0	1050000	856000	105000	1000
E386.1B	52.017	-129.971	E386	QC43	NA	Line1	day	oversat_arg	surface	upper100	wayNorth	offshore	shelf	4.1	125.9	43	16.3	13.278	31.648	289.3	1944.3	2142.8	7.9115	NA	8.4	0.51	0.8	0.04	0.01	4.444	2.177101847	52.017	0.8	341500	59300	424	9.85	6010000	3050000	5620000	1000
E388.1B	48.185	-126.596	E388	BS64	NA	Line2	day	undersat_arg	benthic	deep	northBound	offshore	plain	2467.9	10.1	64	0.4	1.777	34.636	75.1	2395.9	2436.6	7.4395	65.87606053	192.7	2.94	38.3	0.02	0.01	1.41	0.514300037	48.185	NA	NA	NA	NA	NA	NA	NA	NA	1000
E392	48.356	-126.307	E392	BS48	NA	Line2	day	undersat_arg	benthic	deep	northBound	offshore	slope	1275.1	9.9	48	4.2	3.044	34.468	22.3	2382.2	2385.6	7.3145	48.70169965	147.2	3.17	42.2	0.02	0.02	2.357	0.503521392	48.356	NA	NA	NA	NA	NA	NA	NA	NA	1000
E394	48.356	-126.307	E394	BS48	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	offshore	slope	99.4	1185.6	48	5	7.54	33.207	189.8	2146.5	2219.9	7.5448	72.65470642	27.8	1.78	20.7	0.03	0.02	4.445	1.044297529	48.356	NA	NA	NA	NA	NA	NA	NA	NA	1000
E395	48.356	-126.307	E395	BS48	NA	Line2	day	oversat_arg	surface	upper100	northBound	offshore	slope	4.2	1280.8	48	5.2	14.842	31.71	275.6	1932.6	2144.8	7.9263	141.6098268	3.7	0.36	0	0.03	0.02	4.651	2.325934125	48.356	0.3	NA	NA	NA	NA	NA	NA	NA	1000
E396	48.433	-126.227	E396	BS43	NA	Line2	day	undersat_arg	benthic	deep	northBound	offshore	slope	586.1	10.9	43	6.9	4.782	34.168	22.6	2332.3	2323.1	7.2795	43.34529079	95.8	3.07	40.8	0.03	0.01	18.851	0.525773217	48.433	NA	NA	NA	NA	NA	NA	NA	NA	1000
E404	48.537	-125.996	E404	BS32	NA	Line2	day	undersat_arg	benthic	deep	northBound	offshore	shelf	114	10	32	9.2	7.131	33.641	73.2	2247.8	2251.3	7.3183	46.5864774	52.8	2.62	33	0.2	0.67	67.326	0.629579869	48.537	NA	NA	NA	NA	NA	NA	NA	NA	1000
E405	48.537	-125.996	E405	BS32	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	offshore	shelf	59.3	64.7	32	9.3	7.874	32.899	126	2186.6	2213.6	7.3995	53.13741077	41.8	2.33	28.8	0.17	0.33	16.706	0.752493754	48.537	NA	NA	NA	NA	NA	NA	NA	NA	1000
E406	48.536	-125.996	E406	BS32	NA	Line2	day	oversat_arg	surface	upper100	northBound	offshore	shelf	3.4	120.6	32	9.5	16.756	31.726	290.5	1922.2	2154.9	7.9703	155.2343153	4.2	0.32	0	0.03	0.04	5.917	2.553305791	48.536	1.3	NA	NA	NA	NA	NA	NA	NA	1000
E408	48.658	-125.782	E408	BS20	NA	Line2	day	undersat_arg	benthic	upper100	northBound	offshore	shelf	56.7	10.3	20	11	8.334	32.905	127.9	2186.1	2220.2	7.4321	56.65955223	46.9	2.34	27.5	0.26	1.33	32.477	0.799742935	48.658	NA	NA	NA	NA	NA	NA	NA	NA	1000
E411.1T	48.719	-125.677	E411	BS14	NA	Line2	day	undersat_arg	benthic	deep	northBound	near	shelf	156.6	10.4	14	13.2	7.709	33.309	100.2	2219.4	2237.4	7.3744	51.4469261	51.3	2.55	29.5	0.23	1.87	38.073	0.69536937	48.719	NA	1135	813	52.4	0	1120000	876000	224000	1000
E412.1B	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.236	33.033	125.3	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	NA	NA	NA	NA	NA	NA	NA	1000
E412.2T	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
E412.3T	48.719	-125.677	E412	BS14	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	79	88	14	13.3	8.235	33.034	124.9	2188.1	2226.5	7.4412	58.08017187	44.1	2.29	27.1	0.22	1.46	23.455	0.823368692	48.719	NA	809	536	64.7	9.25	1260000	796000	573000	1000
