																														Carbon Group Data								from_bottlefiles																										from_bottlefiles																					Molecular data notes					
OME Sample Name	Sample_ID	Sample Niskin_flag	Rep_Chem_Bottle	Rep Chem Bottle Niskin Flag	EXPOCODE	Cruise_ID	Section_ID	Station_ID	Cast_number	Niskin_Bottle_No	Niskin_ID	Niskin_flag	Line_ID	SMM_Line#	Date_UTC	Year_UTC	Month_UTC	Day_UTC	Time_UTC	Yearday_UTC	Date_local	Time_local	Local_Sunrise	Local_Sunset	Time_after_SunriseSunset	day_night	Latitude	Longitude	Depth_bottom	CTDPRES	Depth	Altitude	CTDTEMP_ITS90	CTDSAL_PSS78	CTDSAL_flag	Salinity_PSS78	Salinity_flag	Sigma_theta	CTDOXY	CTDOXY_flag	Oxygen_djg	Oxygen	Oxygen_flag	DIC	DIC_flag	TA	TA_flag	pH_T_measured	TEMP_pH	pH_flag	Carbonate_measured	TEMP_Carbonate	Carbonate_flag	Silicate	Silicate_flag	Phosphate	Phosphate_flag	Nitrate	Nitrate_flag	Nitrite	Nitrite_flag	Ammonium	Ammonium_flag	Fluorometer	Chl_a	Chl_a_flag	Methane_CH4	Methane_CH4_flag	SYNECHOCOCCUS	SYNECHOCOCCUS_FLAG	EUK_PHYTOPLANKTON	EUK_PHYTOPLANKTON_FLAG	LARGE_DIATOM	LARGE_DIATOM_FLAG	CRYPTOPHYTE	CRYPTOPHYTE_FLAG	BACTERIA	BACTERIA_FLAG	BACTERIA_HNA	BACTERIA_HNA_FLAG	BACTERIA_LNA	BACTERIA_LNA_FLAG	½Ca out	½Ar out	Extraction ng/µL	Total Extracted DNA (ng)	Volume filtered (mL)	Extraction Yield (ng DNA/L water sampled)	Target Depth	Notes
n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	mm/dd/yy	yyyy	n.a.	n.a.	hh:mm:ss	n.a.	mm/dd/yy	hh:mm:ss	hh:mm:ss	hh:mm:ss	hr	n.a.	decimal degrees	decimal degrees	m	dbar	m	m	deg_C	n.a.	n.a.	n.a.	n.a.	n.a.	umol/kg	n.a.	umol/kg	mg/L	n.a.	umol/kg	n.a.	umol/kg	n.a.	n.a.	deg_C	n.a.	umol/kg	deg_C	n.a.	umol/kg	n.a.	umol/kg	n.a.	umol/kg	n.a.	umol/kg	n.a.	umol/kg	n.a.	V4 volts	ug/L	n.a.	nmol/L	n.a.	cells/ml	n.a.	cells/ml	n.a.	cells/ml	n.a.	cells/ml	n.a.	ML	n.a.	ML	n.a.	ML	n.a.	n.a.	n.a.	ng/µL	ng	mL	ng DNA/L water	n.a.	n.a.
E367.1T	10102	2	10101	2	33RO20210613	WCOA2021	QC85	1	1	2	11081	2	1	1	6/25/21	2021	6	25	2:39:24 AM	176.111	6/24/21	6:39:24 PM	4:27:00 AM	9:04:00 PM	14.2	day	51.458	-130.846	1345	1351.1	1335	10.0	2.748	34.458	2	NA	9	27.48	20.1	2	23.4	0.768	6	2386.7	2	2389.3	6	7.3043	25.03	2	NA	NA	9	155.1	2	3.18	2	42.4	2	0.02	2	0.2	2	0.04	NA	9	3.335	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.771148441	0.493346205			1000	NA	1360	
E367.2T	10102	2	10101	2	33RO20210613	WCOA2021	QC85	1	1	2	11081	2	1	1	6/25/21	2021	6	25	2:39:24 AM	176.111	6/24/21	6:39:24 PM	4:27:00 AM	9:04:00 PM	14.2	day	51.458	-130.846	1345	1351.1	1335	10.0	2.748	34.458	2	NA	9	27.48	20.1	2	23.4	0.768	6	2386.7	2	2389.3	6	7.3043	25.03	2	NA	NA	9	155.1	2	3.18	2	42.4	2	0.02	2	0.2	2	0.04	NA	9	3.335	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.771148441	0.493346205			1000	NA	1360	
E367.3T	10102	2	10101	2	33RO20210613	WCOA2021	QC85	1	1	2	11081	2	1	1	6/25/21	2021	6	25	2:39:24 AM	176.111	6/24/21	6:39:24 PM	4:27:00 AM	9:04:00 PM	14.2	day	51.458	-130.846	1345	1351.1	1335	10.0	2.748	34.458	2	NA	9	27.48	20.1	2	23.4	0.768	6	2386.7	2	2389.3	6	7.3043	25.03	2	NA	NA	9	155.1	2	3.18	2	42.4	2	0.02	2	0.2	2	0.04	NA	9	3.335	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.771148441	0.493346205			1000	NA	1360	
E368.1T	10109	2	10109	2	33RO20210613	WCOA2021	QC85	1	1	9	12052	2	1	1	6/25/21	2021	6	25	3:18:45 AM	176.138	6/24/21	7:18:45 PM	4:27:00 AM	9:04:00 PM	14.9	day	51.457	-130.846	1345	101.6	100.7	1244.3	7.169	32.935	2	NA	9	25.77	209.1	2	211.8	6.952	2	2123.2	2	2206.3	2	7.5779	25.03	2	NA	NA	9	27.7	2	1.71	2	20.2	2	0.03	2	0.02	2	0.04	NA	9	3.956	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.755254917	1.108566285			1000	NA	100	
E368.2T	10109	2	10109	2	33RO20210613	WCOA2021	QC85	1	1	9	12052	2	1	1	6/25/21	2021	6	25	3:18:45 AM	176.138	6/24/21	7:18:45 PM	4:27:00 AM	9:04:00 PM	14.9	day	51.457	-130.846	1345	101.6	100.7	1244.3	7.169	32.935	2	NA	9	25.77	209.1	2	211.8	6.952	2	2123.2	2	2206.3	2	7.5779	25.03	2	NA	NA	9	27.7	2	1.71	2	20.2	2	0.03	2	0.02	2	0.04	NA	9	3.956	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.755254917	1.108566285			1000	NA	100	
E368.3T	10109	2	10109	2	33RO20210613	WCOA2021	QC85	1	1	9	12052	2	1	1	6/25/21	2021	6	25	3:18:45 AM	176.138	6/24/21	7:18:45 PM	4:27:00 AM	9:04:00 PM	14.9	day	51.457	-130.846	1345	101.6	100.7	1244.3	7.169	32.935	2	NA	9	25.77	209.1	2	211.8	6.952	2	2123.2	2	2206.3	2	7.5779	25.03	2	NA	NA	9	27.7	2	1.71	2	20.2	2	0.03	2	0.02	2	0.04	NA	9	3.956	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.755254917	1.108566285			1000	NA	100	
E369.1B	10119	2	10119	2	33RO20210613	WCOA2021	QC85	1	1	19	11028	2	1	1	6/25/21	2021	6	25	3:38:25 AM	176.152	6/24/21	7:38:25 PM	4:27:00 AM	9:04:00 PM	15.2	day	51.456	-130.847	1345	6	6	1339.0	13.192	31.952	2	NA	9	23.99	282.4	2	287.1	9.407	6	1975.3	6	2157	2	7.8156	25.03	2	NA	NA	9	6.3	2	0.67	2	2.1	2	0.07	2	0.23	2	0.06	0.4	2	4.469	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.170742916	2.016418632			1000	NA	3	
E369.2B	10120	2	10119	2	33RO20210613	WCOA2021	QC85	1	1	20	11022	2	1	1	6/25/21	2021	6	25	3:39:26 AM	176.152	6/24/21	7:39:26 PM	4:27:00 AM	9:04:00 PM	15.2	day	51.456	-130.847	1345	5.3	5.2	1339.8	13.417	31.955	2	NA	9	23.95	282.6	2	287.1	9.407	6	1975.3	6	2157	2	7.8156	25.03	2	NA	NA	9	6.3	2	0.67	2	2.1	2	0.07	2	0.23	2	0.06	0.4	2	4.469	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.170742916	2.016418632			1000	NA	3	
