EXPOCODE,Cruise_ID,Section_ID,Station_ID,Cast_number,Rosette_Position,Niskin_ID,Niskin_flag,Sample_ID,Salinity_in,t_in,P_in,Total_P_in,Total_Si_in ,t_out,P_out,TA_data,TCO2_data,pH_data,fCO2_data,pCO2_data,pH Scale:,CO2 Constants:,KSO4 Source:,Total Boron Source:,Salinity_results_input_conditions,t_results_input_conditions,p_results_input_conditions,Total_P_results_input_conditions,Total_Si_results_input_conditions,TA_results_input_conditions,TCO2_results_input_conditions,pH_results_input_conditions,fCO2_results_input_conditions,pCO2_results_input_conditions,HCO3_results_input_conditions,CO3_results_input_conditions,CO2_results_input_conditions,B_Alk_results_input_conditions,OH_results_input_conditions,P_Alk_results_input_conditions,Si_Alk_results_input_conditions,Revelle_results_input_conditions,WCa_results_input_conditions,WAr_results_input_conditions,xCO2_results_input_conditions,t_results_output_conditions,P_results_output_conditions,pH_results_output_conditions,fCO2_results_output_conditions,pCO2_results_output_conditions,HCO3_results_output_conditions,CO3_results_output_conditions,CO2_results_output_conditions,B_Alk_results_output_conditions,OH_results_output_conditions,P_Alk_results_output_conditions,Si_Alk_results_output_conditions,Revelle_results_output_conditions,WCa_results_output_conditions,WAr_results_output_conditions,xCO2_results_output_conditions
n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,psu,oC,dbars, mmol/kgSW,mmol/kgSW,˚C,dbars,mmol/kgSW,mmol/kgSW,Chosen Scale, matm, matm,n.a.,n.a.,n.a.,n.a.,Salinity,˚C,dbars,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,pH,matm,matm,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,Revelle,Wca,War,xCO2,˚C,dbars,pH,matm,matm,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,Revelle,Wca,War,dry at 1 atm (ppm)
n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,INPUT CONDITIONS,INPUT CONDITIONS,INPUT CONDITIONS,INPUT CONDITIONS,INPUT CONDITIONS,OUTPUT CONDITIONS,OUTPUT CONDITIONS,DATA (leave empty if no data),DATA (leave empty if no data),DATA (leave empty if no data),DATA (leave empty if no data),DATA (leave empty if no data),SCALES and CONSTANTS,SCALES and CONSTANTS,SCALES and CONSTANTS,SCALES and CONSTANTS,RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions)
33RO20210613,WCOA2021,QC85,1,1,1,11031,2,10101,34.458,2.751,1350.2,,,2.751,1350.2,2389.3,2386.7,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1988",Dickson ,"Uppstrom, 1975",34.45800018,2.750999928,1350.199951,0,0,2389.300049,2386.699951,7.5677104,1108.868896,1113.584595,2281.22424,42.5051925,62.97046394,22.81328154,0.279734008,0,0,19.44162045,0.774733724,0.495639908,1121.666393,2.750999928,1350.199951,7.567710579,1108.868863,1113.584582,2281.22424,42.5051925,62.97046394,22.81328154,0.279734008,0,0,19.44162045,0.774733724,0.495639908,1121.66636
33RO20210613,WCOA2021,QC85,1,1,2,11081,2,10102,34.458,2.748,1351.1,,,2.748,1351.1,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1989",Dickson ,"Uppstrom, 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,QC85,1,1,3,11020,2,10103,34.384,3.374,1012.5,,,3.374,1012.5,2370.2,2376.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1990",Dickson ,"Uppstrom, 1977",34.38399887,3.374000072,1012.5,0,0,2370.199951,2376,7.544717312,1212.897217,1218.012573,2268.543606,40.12336104,67.33296399,21.16289861,0.275656037,0,0,19.20004146,0.783999352,0.499743493,1227.254542,3.374000072,1012.5,7.544717324,1212.897288,1218.012586,2268.543606,40.12336104,67.33296399,21.16289861,0.275656037,0,0,19.20004146,0.783999352,0.499743493,1227.254594
33RO20210613,WCOA2021,QC85,1,1,4,11058,2,10104,34.248,3.886,760.0,,,3.886,760.0,2342.7,2355.4,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1991",Dickson ,"Uppstrom, 1978",34.2480011,3.885999918,760,0,0,2342.699951,2355.399902,7.524906158,1298.230469,1303.668335,2246.628654,37.98856211,70.78279068,19.85261896,0.271986101,0,0,18.95417424,0.781974066,0.497067983,1313.927673,3.885999918,760,7.524905973,1298.230446,1303.668332,2246.628654,37.98856211,70.78279068,19.85261896,0.271986101,0,0,18.95417424,0.781974066,0.497067983,1313.927638
33RO20210613,WCOA2021,QC85,1,1,5,11008,2,10105,34.061,4.568,505.7,,,4.568,505.7,2310.0,2317.6,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1992",Dickson ,"Uppstrom, 1979",34.06100082,4.56799984,505.7000122,0,0,2310,2317.600098,7.543346405,1266.408447,1271.665039,2210.916737,39.2550637,67.42838445,20.3040055,0.298127747,0,0,18.9470996,0.851549466,0.539851203,1282.16837,4.56799984,505.7000122,7.54334656,1266.408441,1271.665076,2210.916737,39.2550637,67.42838445,20.3040055,0.298127747,0,0,18.9470996,0.851549466,0.539851203,1282.168349
33RO20210613,WCOA2021,QC85,1,1,6,11082,2,10106,33.873,5.972,253.6,,,5.972,253.6,2270.7,2236.5,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1993",Dickson ,"Uppstrom, 1980",33.8730011,5.972000122,253.6000061,0,0,2270.699951,2236.5,7.678541183,931.5994873,935.3950806,2135.603009,53.67420862,47.22269908,27.30831122,0.46153502,0,0,18.7287464,1.225940259,0.77590108,943.9221019,5.972000122,253.6000061,7.678541192,931.599443,935.3950294,2135.603009,53.67420862,47.22269908,27.30831122,0.46153502,0,0,18.7287464,1.225940259,0.77590108,943.9220573
33RO20210613,WCOA2021,QC85,1,1,7,11004,2,10107,33.704,6.977,152.5,,,6.977,152.5,2249.9,2192.6,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1994",Dickson ,"Uppstrom, 1981",33.70399857,6.977000237,152.5,0,0,2249.899902,2192.600098,7.747995377,792.0719604,795.2565918,2090.264597,63.53833996,38.79722749,31.98113176,0.595558541,0,0,17.96651974,1.481743921,0.937632855,803.0318892,6.977000237,152.5,7.747995219,792.0719531,795.2565679,2090.264597,63.53833996,38.79722749,31.98113176,0.595558541,0,0,17.96651974,1.481743921,0.937632855,803.0318776
33RO20210613,WCOA2021,QC85,1,1,8,11027,2,10108,33.536,7.267,126.2,,,7.267,126.2,2235.0,2175.8,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1995",Dickson ,"Uppstrom, 1982",33.5359993,7.267000198,126.1999969,0,0,2235,2175.800049,7.753340721,780.5272827,783.6535645,2073.714306,64.19980666,37.88592417,32.28544004,0.618622626,0,0,17.86645502,1.506229712,0.952903831,791.4715793,7.267000198,126.1999969,7.753340517,780.5272906,783.6535398,2073.714306,64.19980666,37.88592417,32.28544004,0.618622626,0,0,17.86645502,1.506229712,0.952903831,791.4715381
