"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_dec","Lon_dec","Cast","Bottle","pressure","btl_EXPOCODE","btl_Cruise_ID","btl_Section_ID","btl_Station_ID","btl_Cast_number","btl_Niskin_ID","btl_Niskin_flag","btl_Line_ID","btl_Date_UTC","btl_Year_UTC","btl_Month_UTC","btl_Day_UTC","btl_Time_UTC","btl_Yearday_UTC","btl_Latitude","btl_Longitude","btl_Depth_bottom","btl_CTDPRES","btl_Depth","btl_CTDTEMP_ITS90","btl_CTDSAL_PSS78","btl_CTDSAL_flag","btl_Salinity_PSS78","btl_Salinity_flag","btl_CTDOXY","btl_CTDOXY_flag","btl_Oxygen_djg","btl_Oxygen","btl_Oxygen_flag","btl_DIC","btl_DIC_flag","btl_TA","btl_TA_flag","btl_pH_T_measured","btl_TEMP_pH","btl_pH_flag","btl_Carbonate_measured","btl_TEMP_Carbonate","btl_Carbonate_flag","btl_Silicate","btl_Silicate_flag","btl_Phosphate","btl_Phosphate_flag","btl_Nitrate","btl_Nitrate_flag","btl_Nitrite","btl_Nitrite_flag","btl_Ammonium","btl_Ammonium_flag","btl_Chl_a","btl_Chl_a_flag","btl_Methane_CH4","btl_Methane_CH4_flag","btl_SYNECHOCOCCUS","btl_SYNECHOCOCCUS_FLAG","btl_EUK_PHYTOPLANKTON","btl_EUK_PHYTOPLANKTON_FLAG","btl_LARGE_DIATOM","btl_LARGE_DIATOM_FLAG","btl_CRYPTOPHYTE","btl_CRYPTOPHYTE_FLAG","btl_BACTERIA","btl_BACTERIA_FLAG","btl_BACTERIA_HNA","btl_BACTERIA_HNA_FLAG","btl_BACTERIA_LNA","btl_BACTERIA_LNA_FLAG","btl_Cast","btl_Date_full_UTC","btl_bottle","Cast.y","bottle","CO2sys_Salinity_in","CO2sys_t_in","CO2sys_P_in","CO2sys_Total_P_in","CO2sys_Total_Si_in","CO2sys_t_out","CO2sys_P_out","CO2sys_TA_data","CO2sys_TCO2_data","CO2sys_pH_data","CO2sys_fCO2_data","CO2sys_pCO2_data","CO2sys_pH.Scale.","CO2sys_CO2.Constants.","CO2sys_KSO4.Source.","CO2sys_Total.Boron.Source.","CO2sys_Salinity_results_input_conditions","CO2sys_t_results_input_conditions","CO2sys_p_results_input_conditions","CO2sys_Total_P_results_input_conditions","CO2sys_Total_Si_results_input_conditions","CO2sys_TA_results_input_conditions","CO2sys_TCO2_results_input_conditions","CO2sys_pH_results_input_conditions","CO2sys_fCO2_results_input_conditions","CO2sys_pCO2_results_input_conditions","CO2sys_HCO3_results_input_conditions","CO2sys_CO3_results_input_conditions","CO2sys_CO2_results_input_conditions","CO2sys_B_Alk_results_input_conditions","CO2sys_OH_results_input_conditions","CO2sys_P_Alk_results_input_conditions","CO2sys_Si_Alk_results_input_conditions","CO2sys_Revelle_results_input_conditions","CO2sys_WCa_results_input_conditions","CO2sys_WAr_results_input_conditions","CO2sys_xCO2_results_input_conditions","CO2sys_t_results_output_conditions","CO2sys_P_results_output_conditions","CO2sys_pH_results_output_conditions","CO2sys_fCO2_results_output_conditions","CO2sys_pCO2_results_output_conditions","CO2sys_HCO3_results_output_conditions","CO2sys_CO3_results_output_conditions","CO2sys_CO2_results_output_conditions","CO2sys_B_Alk_results_output_conditions","CO2sys_OH_results_output_conditions","CO2sys_P_Alk_results_output_conditions","CO2sys_Si_Alk_results_output_conditions","CO2sys_Revelle_results_output_conditions","CO2sys_WCa_results_output_conditions","CO2sys_WAr_results_output_conditions","CO2sys_xCO2_results_output_conditions","btl_pressure","ctd_Depth","ctd_TemperatureITS90","ctd_SalinityPSS78","ctd_SigmathetaEOS80","ctd_Oxygen","ctd_Oxygen_alt1","ctd_Fluorescence","ctd_OxygenReductionPotential","ctd_Altimeter","ctd_value","ctd_Cruise","ctd_CTD","ctd_Station","ctd_F"
"E367.1T",1,1,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"2:39:24 AM","","E367.1T","10102","2","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",1335,51.458,-130.846,1000,"Sean McAllister","","6/25/2021 2:39:24 AM","6/25/2021 ","2021/06/25 02:39:00","2021/06/25 00:00:00","2021/06/25 02:39:00",51.458,-130.846,"10102","2",1335,"33RO20210613","WCOA2021","QC85","1","1","11081","2",1,"2021/06/25 00:00:00",2021,6,25,"02:39:24",176.111,51.458,-130.846,1345,1351.1,1335,2.748,34.458,2,-999,9,20.1,2,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11081,"2021/06/25 02:39:24",2,"11081","2","34.458","2.748","1351.1","","","2.748","1351.1","-999.0","-999.0","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1989","Dickson ","Uppstrom, 1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1335,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E367.2T",1,2,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"2:39:24 AM","","E367.2T","10102","2","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",1335,51.458,-130.846,1000,"Sean McAllister","","6/25/2021 2:39:24 AM","6/25/2021 ","2021/06/25 02:39:00","2021/06/25 00:00:00","2021/06/25 02:39:00",51.458,-130.846,"10102","2",1335,"33RO20210613","WCOA2021","QC85","1","1","11081","2",1,"2021/06/25 00:00:00",2021,6,25,"02:39:24",176.111,51.458,-130.846,1345,1351.1,1335,2.748,34.458,2,-999,9,20.1,2,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11081,"2021/06/25 02:39:24",2,"11081","2","34.458","2.748","1351.1","","","2.748","1351.1","-999.0","-999.0","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1989","Dickson ","Uppstrom, 1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1335,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E367.3T",1,3,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"2:39:24 AM","","E367.3T","10102","2","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",1335,51.458,-130.846,1000,"Sean McAllister","","6/25/2021 2:39:24 AM","6/25/2021 ","2021/06/25 02:39:00","2021/06/25 00:00:00","2021/06/25 02:39:00",51.458,-130.846,"10102","2",1335,"33RO20210613","WCOA2021","QC85","1","1","11081","2",1,"2021/06/25 00:00:00",2021,6,25,"02:39:24",176.111,51.458,-130.846,1345,1351.1,1335,2.748,34.458,2,-999,9,20.1,2,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11081,"2021/06/25 02:39:24",2,"11081","2","34.458","2.748","1351.1","","","2.748","1351.1","-999.0","-999.0","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1989","Dickson ","Uppstrom, 1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1335,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E368.1T",1,1,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"3:18:45 AM","","E368.1T","10109","9","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",100.7,51.457,-130.846,1000,"Sean McAllister","","6/25/2021 3:18:45 AM","6/25/2021 ","2021/06/25 03:18:00","2021/06/25 00:00:00","2021/06/25 03:18:00",51.457,-130.846,"10109","9",101,"33RO20210613","WCOA2021","QC85","1","1","12052","2",1,"2021/06/25 00:00:00",2021,6,25,"03:18:45",176.138,51.457,-130.846,1345,101.6,100.7,7.169,32.935,2,-999,9,209.1,2,211.8,6.952,2,2123.2,2,2206.3,2,7.5779,25.03,2,-999,-999,9,27.7,2,1.71,2,20.2,2,0.03,2,0.02,2,-999,9,3.956,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,12052,"2021/06/25 03:18:45",9,"12052","9","32.935","7.169","101.6","","","7.169","101.6","2206.3","2123.2","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1996","Dickson ","Uppstrom, 1983","32.93500137","7.169000149","101.5999985","0","0","2206.300049","2123.199951","7.84189415","621.8509521","624.3448486","2017.749891","75.05692833","30.3930494","37.70857631","0.742473656","0","0","16.87690365","1.775130322","1.121118994","630.5334872","7.169000149","101.5999985","7.841893939","621.8509763","624.3448902","2017.749891","75.05692833","30.3930494","37.70857631","0.742473656","0","0","16.87690365","1.775130322","1.121118994","630.5335189",101,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E368.2T",1,2,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"3:18:45 AM","","E368.2T","10109","9","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",100.7,51.457,-130.846,1000,"Sean McAllister","","6/25/2021 3:18:45 AM","6/25/2021 ","2021/06/25 03:18:00","2021/06/25 00:00:00","2021/06/25 03:18:00",51.457,-130.846,"10109","9",101,"33RO20210613","WCOA2021","QC85","1","1","12052","2",1,"2021/06/25 00:00:00",2021,6,25,"03:18:45",176.138,51.457,-130.846,1345,101.6,100.7,7.169,32.935,2,-999,9,209.1,2,211.8,6.952,2,2123.2,2,2206.3,2,7.5779,25.03,2,-999,-999,9,27.7,2,1.71,2,20.2,2,0.03,2,0.02,2,-999,9,3.956,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,12052,"2021/06/25 03:18:45",9,"12052","9","32.935","7.169","101.6","","","7.169","101.6","2206.3","2123.2","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1996","Dickson ","Uppstrom, 1983","32.93500137","7.169000149","101.5999985","0","0","2206.300049","2123.199951","7.84189415","621.8509521","624.3448486","2017.749891","75.05692833","30.3930494","37.70857631","0.742473656","0","0","16.87690365","1.775130322","1.121118994","630.5334872","7.169000149","101.5999985","7.841893939","621.8509763","624.3448902","2017.749891","75.05692833","30.3930494","37.70857631","0.742473656","0","0","16.87690365","1.775130322","1.121118994","630.5335189",101,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E368.3T",1,3,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"3:18:45 AM","","E368.3T","10109","9","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",100.7,51.457,-130.846,1000,"Sean McAllister","","6/25/2021 3:18:45 AM","6/25/2021 ","2021/06/25 03:18:00","2021/06/25 00:00:00","2021/06/25 03:18:00",51.457,-130.846,"10109","9",101,"33RO20210613","WCOA2021","QC85","1","1","12052","2",1,"2021/06/25 00:00:00",2021,6,25,"03:18:45",176.138,51.457,-130.846,1345,101.6,100.7,7.169,32.935,2,-999,9,209.1,2,211.8,6.952,2,2123.2,2,2206.3,2,7.5779,25.03,2,-999,-999,9,27.7,2,1.71,2,20.2,2,0.03,2,0.02,2,-999,9,3.956,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,12052,"2021/06/25 03:18:45",9,"12052","9","32.935","7.169","101.6","","","7.169","101.6","2206.3","2123.2","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 1996","Dickson ","Uppstrom, 1983","32.93500137","7.169000149","101.5999985","0","0","2206.300049","2123.199951","7.84189415","621.8509521","624.3448486","2017.749891","75.05692833","30.3930494","37.70857631","0.742473656","0","0","16.87690365","1.775130322","1.121118994","630.5334872","7.169000149","101.5999985","7.841893939","621.8509763","624.3448902","2017.749891","75.05692833","30.3930494","37.70857631","0.742473656","0","0","16.87690365","1.775130322","1.121118994","630.5335189",101,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E369.1B",1,1,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"3:38:25 AM","","E369.1B","10119","19","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",6,51.456,-130.847,1000,"Sean McAllister","","6/25/2021 3:38:25 AM","6/25/2021 ","2021/06/25 03:38:00","2021/06/25 00:00:00","2021/06/25 03:38:00",51.456,-130.847,"10119","19",6,"33RO20210613","WCOA2021","QC85","1","1","11028","2",1,"2021/06/25 00:00:00",2021,6,25,"03:38:25",176.152,51.456,-130.847,1345,6,6,13.192,31.952,2,-999,9,282.4,2,287.1,9.407,6,1975.3,6,2157,2,7.8156,25.03,2,-999,-999,9,6.3,2,0.67,2,2.1,2,0.07,2,0.23,2,0.4,2,4.469,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11028,"2021/06/25 03:38:25",19,"11028","19","31.952","13.192","6.0","","","13.192","6.0","2157.0","1975.3","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2006","Dickson ","Uppstrom, 1993","31.95199966","13.19200039","6","0","0","2157","1975.300049","8.040534973","377.8385925","379.2398987","1827.557045","132.5197556","15.22322302","62.29895555","2.113664684","0","0","12.36370766","3.214546474","2.044275293","384.8958384","13.19200039","6","8.040535312","377.8386","379.2399232","1827.557045","132.5197556","15.22322302","62.29895555","2.113664684","0","0","12.36370766","3.214546474","2.044275293","384.8958543",6,5.95,12.8195,31.9858,24.094,6.33,276.17,0.05,213.85,99.62,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E369.2B",2,1,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"3:39:26 AM","","E369.2B","10120","20","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",5.2,51.456,-130.847,1000,"Sean McAllister","","6/25/2021 3:39:26 AM","6/25/2021 ","2021/06/25 03:39:00","2021/06/25 00:00:00","2021/06/25 03:39:00",51.456,-130.847,"10120","20",5,"33RO20210613","WCOA2021","QC85","1","1","11022","2",1,"2021/06/25 00:00:00",2021,6,25,"03:39:26",176.152,51.456,-130.847,1345,5.3,5.2,13.417,31.955,2,-999,9,282.6,2,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11022,"2021/06/25 03:39:26",20,"11022","20","31.955","13.417","5.3","","","13.417","5.3","-999.0","-999.0","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2007","Dickson ","Uppstrom, 1994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,4.96,12.8871,31.992,24.0857,6.07,264.64,0.05,214.25,99.62,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E369.3B",3,1,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"3:39:42 AM","","E369.3B","10121","21","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC85",5,51.456,-130.847,1000,"Sean McAllister","","6/25/2021 3:39:42 AM","6/25/2021 ","2021/06/25 03:39:00","2021/06/25 00:00:00","2021/06/25 03:39:00",51.456,-130.847,"10121","21",5,"33RO20210613","WCOA2021","QC85","1","1","11062","2",1,"2021/06/25 00:00:00",2021,6,25,"03:39:42",176.153,51.456,-130.847,1345,5.1,5,13.512,31.956,2,-999,9,282.6,2,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11062,"2021/06/25 03:39:42",21,"11062","21","31.956","13.512","5.1","","","13.512","5.1","-999.0","-999.0","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2008","Dickson ","Uppstrom, 1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,4.96,12.8871,31.992,24.0857,6.07,264.64,0.05,214.25,99.62,"dRB2102_CTD_001_01_F.csv","dRB2102","CTD","001","F.csv"
"E370",1,1,FALSE,"WCOA21","2021_WCOA_RonBrown","6/25/2021",NA,"1:58:18 PM","","E370","20102","2","Niskin; Sterivex 0.22µm filter","95% EtOH","West Coast","QC74",876.7,51.711,-130.642,1000,"Sean McAllister","","6/25/2021 1:58:18 PM","6/25/2021 ","2021/06/25 01:58:00","2021/06/25 00:00:00","2021/06/25 01:58:00",51.711,-130.642,"20102","2",877,"33RO20210613","WCOA2021","QC74","2","1","11081","2",1,"2021/06/25 00:00:00",2021,6,25,"13:58:18",176.582,51.711,-130.642,887,886.3,876.7,4.062,34.242,2,-999,9,21.4,2,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11081,"2021/06/25 13:58:18",2,"11081","2","34.242","4.062","886.3","","","4.062","886.3","-999.0","-999.0","","","","Seawater scale (mol/kg-SW) "," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2011","Dickson ","Uppstrom, 1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",877,867.51,4.0604,34.2414,27.1832,0.49,21.47,0.041,500,65.98,"dRB2102_CTD_002_01_F.csv","dRB2102","CTD","002","F.csv"
