,Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,Combined_date,Combined_date_local,Date_UTC,Date_local_check,Date_local,Lat_dec,Lon_dec,Cast,Bottle,pressure,btl_X,btl_EXPOCODE,btl_Cruise_ID,btl_Section_ID,btl_Station_ID,btl_Cast_number,btl_Niskin_ID,btl_Niskin_flag,btl_Line_ID,btl_Date_UTC.mm.dd.yy,btl_Year_UTC.yyyy,btl_Month_UTC,btl_Day_UTC,btl_Time_UTC.hh.mm.ss,btl_Yearday_UTC,btl_Latitude.decimal.degrees,btl_Longitude.decimal.degrees,btl_Depth_bottom.m,btl_CTDPRES.dbar,btl_Depth.m,btl_CTDTEMP_ITS90.deg_C,btl_CTDSAL_PSS78,btl_CTDSAL_flag,btl_Salinity_PSS78,btl_Salinity_flag,btl_CTDOXY.umol.kg,btl_CTDOXY_flag,btl_Oxygen_djg.umol.kg,btl_Oxygen.mg.L,btl_Oxygen_flag,btl_DIC.umol.kg,btl_DIC_flag,btl_TA.umol.kg,btl_TA_flag,btl_pH_T_measured,btl_TEMP_pH.deg_C,btl_pH_flag,btl_Carbonate_measured.umol.kg,btl_TEMP_Carbonate.deg_C,btl_Carbonate_flag,btl_Silicate.umol.kg,btl_Silicate_flag,btl_Phosphate.umol.kg,btl_Phosphate_flag,btl_Nitrate.umol.kg,btl_Nitrate_flag,btl_Nitrite.umol.kg,btl_Nitrite_flag,btl_Ammonium.umol.kg,btl_Ammonium_flag,btl_Chl_a.ug.L,btl_Chl_a_flag,btl_Methane_CH4.nmol.L,btl_Methane_CH4_flag,btl_SYNECHOCOCCUS.cells.ml,btl_SYNECHOCOCCUS_FLAG,btl_EUK_PHYTOPLANKTON.cells.ml,btl_EUK_PHYTOPLANKTON_FLAG,btl_LARGE_DIATOM.cells.ml,btl_LARGE_DIATOM_FLAG,btl_CRYPTOPHYTE.cells.ml,btl_CRYPTOPHYTE_FLAG,btl_BACTERIA.ML,btl_BACTERIA_FLAG,btl_BACTERIA_HNA.ML,btl_BACTERIA_HNA_FLAG,btl_BACTERIA_LNA.ML,btl_BACTERIA_LNA_FLAG,co2Sys_BOH3,co2Sys_BOH4,co2Sys_CO2,co2Sys_CO3,co2Sys_F,co2Sys_H2PO4,co2Sys_H2S,co2Sys_H3PO4,co2Sys_H3SiO4,co2Sys_H4SiO4,co2Sys_HCO3,co2Sys_HF,co2Sys_HPO4,co2Sys_HS,co2Sys_HSO4,co2Sys_Hfree,co2Sys_NH3,co2Sys_NH4,co2Sys_OH,co2Sys_PO4,co2Sys_SO4,co2Sys_alkalinity,co2Sys_alkalinity_alpha,co2Sys_alkalinity_ammonia,co2Sys_alkalinity_beta,co2Sys_alkalinity_borate,co2Sys_alkalinity_phosphate,co2Sys_alkalinity_silicate,co2Sys_alkalinity_sulfide,co2Sys_alpha,co2Sys_alphaH,co2Sys_aqueous_CO2,co2Sys_beta,co2Sys_betaH,co2Sys_beta_alk,co2Sys_beta_dic,co2Sys_bh_upsilon,co2Sys_bicarbonate,co2Sys_carbonate,co2Sys_dic,co2Sys_dlnfCO2_dT,co2Sys_dlnpCO2_dT,co2Sys_fCO2,co2Sys_fH,co2Sys_fugacity_factor,co2Sys_gamma_alk,co2Sys_gamma_dic,co2Sys_gas_constant,co2Sys_hydrogen_free,co2Sys_hydroxide,co2Sys_isocapnic_quotient,co2Sys_isocapnic_quotient_approx,co2Sys_k_CO2,co2Sys_k_alpha,co2Sys_k_ammonia,co2Sys_k_aragonite,co2Sys_k_beta,co2Sys_k_bisulfate,co2Sys_k_borate,co2Sys_k_calcite,co2Sys_k_carbonic_1,co2Sys_k_carbonic_2,co2Sys_k_fluoride,co2Sys_k_phosphoric_1,co2Sys_k_phosphoric_2,co2Sys_k_phosphoric_3,co2Sys_k_silicate,co2Sys_k_sulfide,co2Sys_k_water,co2Sys_omega_alk,co2Sys_omega_dic,co2Sys_opt_adjust_temperature,co2Sys_opt_buffers_mode,co2Sys_opt_gas_constant,co2Sys_opt_k_bisulfate,co2Sys_opt_k_carbonic,co2Sys_opt_k_fluoride,co2Sys_opt_pH_scale,co2Sys_opt_pressured_kCO2,co2Sys_opt_total_borate,co2Sys_opt_which_fCO2_insitu,co2Sys_pCO2,co2Sys_pH,co2Sys_pH_free,co2Sys_pH_nbs,co2Sys_pH_sws,co2Sys_pH_total,co2Sys_par1,co2Sys_par1_type,co2Sys_par2,co2Sys_par2_type,co2Sys_peng_correction,co2Sys_phosphate,co2Sys_pressure,co2Sys_pressure_atmosphere,co2Sys_pressure_atmosphere_out,co2Sys_psi,co2Sys_revelle_factor,co2Sys_salinity,co2Sys_saturation_aragonite,co2Sys_saturation_calcite,co2Sys_silicate,co2Sys_substrate_inhibitor_ratio,co2Sys_temperature,co2Sys_total_alpha,co2Sys_total_ammonia,co2Sys_total_beta,co2Sys_total_borate,co2Sys_total_calcium,co2Sys_total_fluoride,co2Sys_total_phosphate,co2Sys_total_silicate,co2Sys_total_sulfate,co2Sys_total_sulfide,co2Sys_vp_factor,co2Sys_xCO2,btl_Cast,btl_Time_UTC,btl_Date_full_UTC,btl_bottle,Cast.y,bottle,btl_pressure,ctd_Depth,ctd_TemperatureITS90,ctd_SalinityPSS78,ctd_SigmathetaEOS80,ctd_Oxygen,ctd_Oxygen_alt1,ctd_Fluorescence,ctd_OxygenReductionPotential,ctd_Altimeter,ctd_value,ctd_Cruise,ctd_CTD,ctd_Station,ctd_F,Rep Chem Bottle
0,E367.1T,1.0,1.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,2:39:24 AM,,E367.1T,10102,2,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,1335.0,51.458,-130.846,1000.0,Sean McAllister,,6/25/2021 2:39:24 AM,6/25/2021 ,2021/06/25 02:39:00,2021/06/25 00:00:00,2021/06/24 19:39:00,51.458,-130.846,10102,2,1335.0,0.0,33RO20210613,WCOA2021,QC85,1.0,1.0,11081.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,02:39:24,176.111,51.458,-130.846,1345.0,1351.1,1335.0,2.748,34.458,2.0,,9.0,20.1,2.0,,,9.0,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1351.1,,,,,34.458,,,0.0,,2.748,,,,,,,,,,,,,11081.0,02:39:24,2021/06/25 02:39:24,2.0,11081.0,2.0,1335.0,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100.0,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10101
1,E367.2T,1.0,2.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,2:39:24 AM,,E367.2T,10102,2,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,1335.0,51.458,-130.846,1000.0,Sean McAllister,,6/25/2021 2:39:24 AM,6/25/2021 ,2021/06/25 02:39:00,2021/06/25 00:00:00,2021/06/24 19:39:00,51.458,-130.846,10102,2,1335.0,0.0,33RO20210613,WCOA2021,QC85,1.0,1.0,11081.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,02:39:24,176.111,51.458,-130.846,1345.0,1351.1,1335.0,2.748,34.458,2.0,,9.0,20.1,2.0,,,9.0,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1351.1,,,,,34.458,,,0.0,,2.748,,,,,,,,,,,,,11081.0,02:39:24,2021/06/25 02:39:24,2.0,11081.0,2.0,1335.0,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100.0,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10101
2,E367.3T,1.0,3.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,2:39:24 AM,,E367.3T,10102,2,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,1335.0,51.458,-130.846,1000.0,Sean McAllister,,6/25/2021 2:39:24 AM,6/25/2021 ,2021/06/25 02:39:00,2021/06/25 00:00:00,2021/06/24 19:39:00,51.458,-130.846,10102,2,1335.0,0.0,33RO20210613,WCOA2021,QC85,1.0,1.0,11081.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,02:39:24,176.111,51.458,-130.846,1345.0,1351.1,1335.0,2.748,34.458,2.0,,9.0,20.1,2.0,,,9.0,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1351.1,,,,,34.458,,,0.0,,2.748,,,,,,,,,,,,,11081.0,02:39:24,2021/06/25 02:39:24,2.0,11081.0,2.0,1335.0,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100.0,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10101
3,E368.1T,1.0,1.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,3:18:45 AM,,E368.1T,10109,9,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,100.7,51.457,-130.846,1000.0,Sean McAllister,,6/25/2021 3:18:45 AM,6/25/2021 ,2021/06/25 03:18:00,2021/06/25 00:00:00,2021/06/24 20:18:00,51.457,-130.846,10109,9,101.0,7.0,33RO20210613,WCOA2021,QC85,1.0,1.0,12052.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,03:18:45,176.138,51.457,-130.846,1345.0,101.6,100.7,7.169,32.935,2.0,,9.0,209.1,2.0,211.8,6.952,2.0,2123.2,2.0,2206.3,2.0,7.5779,25.03,2.0,,,9.0,27.7,2.0,1.71,2.0,20.2,2.0,0.03,2.0,0.02,2.0,,9.0,3.956,6.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,353.91544066801947,37.25825933198056,30.898052081670112,73.90335801173906,64.29436233395853,0.0306456120964573,0.0,1.7732620696542372e-08,0.367265041705404,27.3327349582946,2018.3985899065904,0.00025281279507528544,1.6076286361957834,0.0,0.0017058145545509,0.0126253679081068,0.0,0.0,0.7326736050905397,0.0717257339751385,26569.54181320682,2206.3,0.0,0.0,0.0,37.25825933198056,1.7510800864134397,0.367265041705404,0.0,0.0,0.0,30.89805208167026,0.0,0.0,-0.00013885088634778815,0.00013609430328998673,28995.0,2018.3985899065904,73.90335801173906,2123.2,0.0423908688136761,0.0423383336543304,632.1834753982163,0.775300999371782,0.9960055510589226,-0.00013609430328998602,0.0001255073073843714,83.14462618,0.0126253679081068,0.7326736050905397,1.0843536215241405,1.076724305181794,0.0488751340142313,1e-07,1.3413001324204148e-10,6.479102784019262e-07,1e-07,0.196651060132305,1.5087076048453446e-09,4.092006729216522e-07,9.361767731801592e-07,5.247340746566871e-10,0.0032108342405756,0.0247672281218985,7.517950504973214e-07,6.39398033586493e-10,1.9256552163873823e-10,1.5400895485563674e-07,1.0500079200365701e-14,0.00014172144690785036,-0.00014863194622854594,1.0,1.0,3.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,634.7188273459903,7.843717971264947,7.898755957515629,7.9466531089278,7.836123452708182,7.843717971264947,2123.2,2.0,2206.3,1.0,0.0,,101.6,1.0,1.0,0.8444167661734279,16.916943278032495,32.935,1.103888100684804,1.747847679556981,,0.1598684968705392,7.169,0.0,0.0,0.0,391.17370000000005,9677.780088499592,64.29461514675361,1.71,27.7,26569.543519021376,0.0,0.9901850917537678,641.0102844729839,12052.0,03:18:45,2021/06/25 03:18:45,9.0,12052.0,9.0,101.0,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10109
4,E368.2T,1.0,2.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,3:18:45 AM,,E368.2T,10109,9,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,100.7,51.457,-130.846,1000.0,Sean McAllister,,6/25/2021 3:18:45 AM,6/25/2021 ,2021/06/25 03:18:00,2021/06/25 00:00:00,2021/06/24 20:18:00,51.457,-130.846,10109,9,101.0,7.0,33RO20210613,WCOA2021,QC85,1.0,1.0,12052.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,03:18:45,176.138,51.457,-130.846,1345.0,101.6,100.7,7.169,32.935,2.0,,9.0,209.1,2.0,211.8,6.952,2.0,2123.2,2.0,2206.3,2.0,7.5779,25.03,2.0,,,9.0,27.7,2.0,1.71,2.0,20.2,2.0,0.03,2.0,0.02,2.0,,9.0,3.956,6.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,353.91544066801947,37.25825933198056,30.898052081670112,73.90335801173906,64.29436233395853,0.0306456120964573,0.0,1.7732620696542372e-08,0.367265041705404,27.3327349582946,2018.3985899065904,0.00025281279507528544,1.6076286361957834,0.0,0.0017058145545509,0.0126253679081068,0.0,0.0,0.7326736050905397,0.0717257339751385,26569.54181320682,2206.3,0.0,0.0,0.0,37.25825933198056,1.7510800864134397,0.367265041705404,0.0,0.0,0.0,30.89805208167026,0.0,0.0,-0.00013885088634778815,0.00013609430328998673,28995.0,2018.3985899065904,73.90335801173906,2123.2,0.0423908688136761,0.0423383336543304,632.1834753982163,0.775300999371782,0.9960055510589226,-0.00013609430328998602,0.0001255073073843714,83.14462618,0.0126253679081068,0.7326736050905397,1.0843536215241405,1.076724305181794,0.0488751340142313,1e-07,1.3413001324204148e-10,6.479102784019262e-07,1e-07,0.196651060132305,1.5087076048453446e-09,4.092006729216522e-07,9.361767731801592e-07,5.247340746566871e-10,0.0032108342405756,0.0247672281218985,7.517950504973214e-07,6.39398033586493e-10,1.9256552163873823e-10,1.5400895485563674e-07,1.0500079200365701e-14,0.00014172144690785036,-0.00014863194622854594,1.0,1.0,3.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,634.7188273459903,7.843717971264947,7.898755957515629,7.9466531089278,7.836123452708182,7.843717971264947,2123.2,2.0,2206.3,1.0,0.0,,101.6,1.0,1.0,0.8444167661734279,16.916943278032495,32.935,1.103888100684804,1.747847679556981,,0.1598684968705392,7.169,0.0,0.0,0.0,391.17370000000005,9677.780088499592,64.29461514675361,1.71,27.7,26569.543519021376,0.0,0.9901850917537678,641.0102844729839,12052.0,03:18:45,2021/06/25 03:18:45,9.0,12052.0,9.0,101.0,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10109
5,E368.3T,1.0,3.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,3:18:45 AM,,E368.3T,10109,9,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,100.7,51.457,-130.846,1000.0,Sean McAllister,,6/25/2021 3:18:45 AM,6/25/2021 ,2021/06/25 03:18:00,2021/06/25 00:00:00,2021/06/24 20:18:00,51.457,-130.846,10109,9,101.0,7.0,33RO20210613,WCOA2021,QC85,1.0,1.0,12052.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,03:18:45,176.138,51.457,-130.846,1345.0,101.6,100.7,7.169,32.935,2.0,,9.0,209.1,2.0,211.8,6.952,2.0,2123.2,2.0,2206.3,2.0,7.5779,25.03,2.0,,,9.0,27.7,2.0,1.71,2.0,20.2,2.0,0.03,2.0,0.02,2.0,,9.0,3.956,6.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,353.91544066801947,37.25825933198056,30.898052081670112,73.90335801173906,64.29436233395853,0.0306456120964573,0.0,1.7732620696542372e-08,0.367265041705404,27.3327349582946,2018.3985899065904,0.00025281279507528544,1.6076286361957834,0.0,0.0017058145545509,0.0126253679081068,0.0,0.0,0.7326736050905397,0.0717257339751385,26569.54181320682,2206.3,0.0,0.0,0.0,37.25825933198056,1.7510800864134397,0.367265041705404,0.0,0.0,0.0,30.89805208167026,0.0,0.0,-0.00013885088634778815,0.00013609430328998673,28995.0,2018.3985899065904,73.90335801173906,2123.2,0.0423908688136761,0.0423383336543304,632.1834753982163,0.775300999371782,0.9960055510589226,-0.00013609430328998602,0.0001255073073843714,83.14462618,0.0126253679081068,0.7326736050905397,1.0843536215241405,1.076724305181794,0.0488751340142313,1e-07,1.3413001324204148e-10,6.479102784019262e-07,1e-07,0.196651060132305,1.5087076048453446e-09,4.092006729216522e-07,9.361767731801592e-07,5.247340746566871e-10,0.0032108342405756,0.0247672281218985,7.517950504973214e-07,6.39398033586493e-10,1.9256552163873823e-10,1.5400895485563674e-07,1.0500079200365701e-14,0.00014172144690785036,-0.00014863194622854594,1.0,1.0,3.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,634.7188273459903,7.843717971264947,7.898755957515629,7.9466531089278,7.836123452708182,7.843717971264947,2123.2,2.0,2206.3,1.0,0.0,,101.6,1.0,1.0,0.8444167661734279,16.916943278032495,32.935,1.103888100684804,1.747847679556981,,0.1598684968705392,7.169,0.0,0.0,0.0,391.17370000000005,9677.780088499592,64.29461514675361,1.71,27.7,26569.543519021376,0.0,0.9901850917537678,641.0102844729839,12052.0,03:18:45,2021/06/25 03:18:45,9.0,12052.0,9.0,101.0,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10109
6,E369.1B,1.0,1.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,3:38:25 AM,,E369.1B,10119,19,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,6.0,51.456,-130.847,1000.0,Sean McAllister,,6/25/2021 3:38:25 AM,6/25/2021 ,2021/06/25 03:38:00,2021/06/25 00:00:00,2021/06/24 20:38:00,51.456,-130.847,10119,19,6.0,17.0,33RO20210613,WCOA2021,QC85,1.0,1.0,11028.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,03:38:25,176.152,51.456,-130.847,1345.0,6.0,6.0,13.192,31.952,2.0,,9.0,282.4,2.0,287.1,9.407,6.0,1975.3,6.0,2157.0,2.0,7.8156,25.03,2.0,,,9.0,6.3,2.0,0.67,2.0,2.1,2.0,0.07,2.0,0.23,2.0,0.4,2.0,4.469,6.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,317.26527420480573,62.23319436662287,15.274891267047405,131.7458164768368,62.37546438847353,0.0064245586361707,0.0,2.3576648669047033e-09,0.1706034323930838,6.129396567606916,1828.279292256116,0.0001707464610768278,0.6037493200064764,0.0,0.0013228846858126,0.0076267579072755,0.0,0.0,2.110995824600835,0.0598261189996879,25776.52986034808,2157.0,0.0,0.0,0.0,62.23319436662287,0.7234015556481874,0.1706034323930838,0.0,0.0,0.0,15.274891267047378,0.0,0.0,-0.0001945289467308388,0.00018369747081119244,28995.0,1828.279292256116,131.7458164768368,1975.3,0.0422681927299495,0.0422208323291498,379.12099583472224,0.7509558220185472,0.9963049167298694,-0.00018369747081119228,0.00015946502035706702,83.14462618,0.0076267579072755,2.110995824600835,1.1519609153146262,1.1551340339572778,0.0402902805037647,1e-07,2.21948548515438e-10,6.08635638511338e-07,1e-07,0.1486080797841875,1.7555178474183454e-09,3.870588927636111e-07,1.0711988755992598e-06,6.449113024147399e-10,0.0027861342674078,0.0243874796860888,8.41044650203147e-07,8.86828968742776e-10,2.491011537292235e-10,1.9818642116050813e-07,1.889265828899908e-14,0.0002067177847004535,-0.00021661439210593107,1.0,1.0,3.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,380.5270750636215,8.04819430473577,8.117660039005678,8.164372221169565,8.039986609814333,8.04819430473577,1975.3,2.0,2157.0,1.0,0.0,,6.0,1.0,1.0,0.7361700153288233,12.387042597661829,31.952,2.032336343421802,3.195772920282113,,0.2397190673263708,13.192,0.0,0.0,0.0,379.4984685714286,9388.93060233001,62.375635134934605,0.67,6.3,25776.531183232764,0.0,0.98530529518261,386.2022024281288,11028.0,03:38:25,2021/06/25 03:38:25,19.0,11028.0,19.0,6.0,5.95,12.8195,31.9858,24.094,6.33,276.17,0.05,213.85,99.62,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10119
7,E369.2B,2.0,1.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,3:39:26 AM,,E369.2B,10120,20,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,5.2,51.456,-130.847,1000.0,Sean McAllister,,6/25/2021 3:39:26 AM,6/25/2021 ,2021/06/25 03:39:00,2021/06/25 00:00:00,2021/06/24 20:39:00,51.456,-130.847,10120,20,5.0,18.0,33RO20210613,WCOA2021,QC85,1.0,1.0,11022.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,03:39:26,176.152,51.456,-130.847,1345.0,5.3,5.2,13.417,31.955,2.0,,9.0,282.6,2.0,287.1,9.407,9.0,1975.3,9.0,2157.0,9.0,7.8156,25.03,9.0,,,9.0,6.3,9.0,0.67,9.0,2.1,9.0,0.07,9.0,0.23,9.0,0.4,9.0,4.469,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.3,,,,,31.955,,,0.0,,13.417,,,,,,,,,,,,,11022.0,03:39:26,2021/06/25 03:39:26,20.0,11022.0,20.0,5.0,4.96,12.8871,31.992,24.0857,6.07,264.64,0.05,214.25,99.62,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10119
8,E369.3B,3.0,1.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,3:39:42 AM,,E369.3B,10121,21,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC85,5.0,51.456,-130.847,1000.0,Sean McAllister,,6/25/2021 3:39:42 AM,6/25/2021 ,2021/06/25 03:39:00,2021/06/25 00:00:00,2021/06/24 20:39:00,51.456,-130.847,10121,21,5.0,19.0,33RO20210613,WCOA2021,QC85,1.0,1.0,11062.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,03:39:42,176.153,51.456,-130.847,1345.0,5.1,5.0,13.512,31.956,2.0,,9.0,282.6,2.0,287.1,9.407,9.0,1975.3,9.0,2157.0,9.0,7.8156,25.03,9.0,,,9.0,6.3,9.0,0.67,9.0,2.1,9.0,0.07,9.0,0.23,9.0,0.4,9.0,4.469,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.1,,,,,31.956,,,0.0,,13.512,,,,,,,,,,,,,11062.0,03:39:42,2021/06/25 03:39:42,21.0,11062.0,21.0,5.0,4.96,12.8871,31.992,24.0857,6.07,264.64,0.05,214.25,99.62,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,1.0,F.csv,10119
9,E370,1.0,1.0,False,WCOA21,2021_WCOA_RonBrown,6/25/2021,,1:58:18 PM,,E370,20102,2,Niskin; Sterivex 0.22µm filter,95% EtOH,West Coast,QC74,876.7,51.711,-130.642,1000.0,Sean McAllister,,6/25/2021 1:58:18 PM,6/25/2021 ,2021/06/25 01:58:00,2021/06/25 00:00:00,2021/06/24 18:58:00,51.711,-130.642,20102,2,877.0,22.0,33RO20210613,WCOA2021,QC74,2.0,1.0,11081.0,2.0,1.0,2021-06-25,2021.0,6.0,25.0,13:58:18,176.582,51.711,-130.642,887.0,886.3,876.7,4.062,34.242,2.0,,9.0,21.4,2.0,,,9.0,,9.0,,9.0,,,9.0,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,886.3,,,,,34.242,,,0.0,,4.062,,,,,,,,,,,,,11081.0,13:58:18,2021/06/25 13:58:18,2.0,11081.0,2.0,877.0,867.51,4.0604,34.2414,27.1832,0.49,21.47,0.041,500.0,65.98,dRB2102_CTD_002_01_F.csv,dRB2102,CTD,2.0,F.csv,20101
