"","FINAL Sample NAME","Sequential G3 Sample No.","Biological Replicate No. (if applicable)","Technical Replicate No. (if applicable)","Negative control","Cruise/ Expedition ID","Cruise/Expedition Name","Collection Date (UTC)","Collection Date (local)","Sample_ID","Dive No./ Station No./ Cast No.","Rossete position","Sampling method","Preservation","Region","Area within region","Additional Description Sampling Location","Depth (m)","Altitude (m)","Latitude (D° M' S"")","Longitude (D° M' S"")","Latitude & Longitude (D.D°)","Start time (local)","End time (local)","Start time (UTC)","End time (UTC)","Sample volume (ml)","Temp (°C)","pH","Salinity (ppt)","Oxygen (µM)","Methane (µM)","Other chem","Other chem (units X)","Personnel Responsible for Collecting Sample","Field Notes","Extracted","Elution Volume (µl)","Extraction Yield (ng/µl)","Extraction/PCR Notes","Sample location in lab","Sent for Sequencing","Sequencing completed","Sequencign Notes","EXPOCODE","Cruise_ID","Section_ID","Station_ID","Cast_number","Rosette_Position","Niskin_ID","Niskin_flag","Line_ID","Date_UTC","Year_UTC","Month_UTC","Day_UTC","Time_UTC","Yearday_UTC","Latitude","Longitude","Depth_bottom","CTDPRES","Depth","CTDTEMP_ITS90","CTDSAL_PSS78","CTDSAL_flag","Salinity_PSS78","Salinity_flag","CTDOXY","CTDOXY_flag","Oxygen_djg","Oxygen","Oxygen_flag","DIC","DIC_flag","TA","TA_flag","pH_T_measured","TEMP_pH","pH_flag","Carbonate_measured","TEMP_Carbonate","Carbonate_flag","Silicate","Silicate_flag","Phosphate","Phosphate_flag","Nitrate","Nitrate_flag","Nitrite","Nitrite_flag","Ammonium","Ammonium_flag","Chl_a","Chl_a_flag","Methane_CH4","Methane_CH4_flag","SYNECHOCOCCUS","SYNECHOCOCCUS_FLAG","EUK_PHYTOPLANKTON","EUK_PHYTOPLANKTON_FLAG","LARGE_DIATOM","LARGE_DIATOM_FLAG","CRYPTOPHYTE","CRYPTOPHYTE_FLAG","BACTERIA","BACTERIA_FLAG","BACTERIA_HNA","BACTERIA_HNA_FLAG","BACTERIA_LNA","BACTERIA_LNA_FLAG","to_keep","station_type"
"1","E394.",394,NA,NA,FALSE,"WCOA21","WCOA 2021",2021-06-27,NA,"80112","BS48","12","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,99.4,"1185.82","48.36","-126.31",NA,NA,NA,"0.72430555555555554",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS48","8","1","12","11026","2","2","44374","2021","6","27","0.72442129629629637","178.72399999999999",48.356,-126.307,"1285","100.2","99.4",7.54,"33.207000000000001","2","-999","9",189.8,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","4.4450000000000003","2","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","CTD Only"
"2","E395.",395,NA,NA,FALSE,"WCOA21","WCOA 2021",2021-06-27,NA,"80121","BS48","21","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,4.2,"1281.03","48.36","-126.31",NA,NA,NA,"0.73611111111111116",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS48","8","1","21","11062","2","2","44374","2021","6","27","0.73666666666666669","178.73699999999999",48.356,-126.307,"1285","4.2","4.2",14.842,"31.71","2","31.721499999999999","3",275.6,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","CTD Only"
"3","E405.",405,NA,NA,FALSE,"WCOA21","WCOA 2021",2021-06-27,NA,"100106","BS32","6","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,59.3,"64.739999999999995","48.54","-126",NA,NA,NA,"0.90416666666666667",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS32","10","1","6","11082","2","2","44374","2021","6","27","0.90473379629629624","178.905",48.537,-125.996,"124","59.8","59.3",7.874,"32.899000000000001","2","-999","9",126,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","CTD Only"
"4","E406.",406,NA,NA,FALSE,"WCOA21","WCOA 2021",2021-06-27,NA,"100113","BS32","13","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,3.4,"120.61","48.54","-126",NA,NA,NA,"0.91319444444444453",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS32","10","1","13","11054","2","2","44374","2021","6","27","0.91344907407407405","178.91300000000001",48.536,-125.996,"124","3.4","3.4",16.756,"31.725999999999999","2","-999","9",290.5,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","CTD Only"
"5","E412.1B.",412,1,NA,FALSE,"WCOA21","WCOA 2021",2021-06-28,NA,"120105","BS14","5","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,79,"87.58","48.72","-125.68",NA,NA,NA,"6.8749999999999992E-2",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS14","12","1","5","11008","2","2","44375","2021","6","28","6.8981481481481477E-2","179.06899999999999",48.719,-125.677,"167","79.7","79",8.236,"33.033000000000001","2","-999","9",125.3,"2","129.4","4.2460000000000004","2","2188.1","2","2226.5","2","7.4412000000000003","25.11","2","58.080171871421534","25.2","2","44.1","2","2.29","2","27.1","2","0.22","2","1.46","2","-999","9","23.454999999999998","2","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","Biological Station"
"6","E412.2T.",412,NA,2,FALSE,"WCOA21","WCOA 2021",2021-06-28,NA,"120106","BS14","6","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,79,"87.55","48.72","-125.68",NA,NA,NA,"6.8749999999999992E-2",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS14","12","1","6","11082","2","2","44375","2021","6","28","6.9050925925925918E-2","179.06899999999999",48.719,-125.677,"167","79.7","79",8.235,"33.033999999999999","2","-999","9",124.9,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","809","2","536","2","64.7","2","9.25","2","1260000","2","796000","2","573000","2","keep","Biological Station"
"7","E412.3T.",412,NA,3,FALSE,"WCOA21","WCOA 2021",2021-06-28,NA,"120106","BS14","6","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,79,"87.55","48.72","-125.68",NA,NA,NA,"6.8749999999999992E-2",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS14","12","1","6","11082","2","2","44375","2021","6","28","6.9050925925925918E-2","179.06899999999999",48.719,-125.677,"167","79.7","79",8.235,"33.033999999999999","2","-999","9",124.9,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","809","2","536","2","64.7","2","9.25","2","1260000","2","796000","2","573000","2","keep","Biological Station"
"8","E413.1B.",413,1,NA,FALSE,"WCOA21","WCOA 2021",2021-06-28,NA,"120116","BS14","16","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,3.1,"163.5","48.72","-125.68",NA,NA,NA,"7.9166666666666663E-2",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS14","12","1","16","11032","2","2","44375","2021","6","28","7.9282407407407399E-2","179.07900000000001",48.718,-125.677,"167","3.1","3.1",17.599,"31.495999999999999","2","-999","9",346.1,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","Biological Station"
"9","E413.2B.",413,2,NA,FALSE,"WCOA21","WCOA 2021",2021-06-28,NA,"120117","BS14","17","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,3.1,"163.49","48.72","-125.68",NA,NA,NA,"7.9166666666666663E-2",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS14","12","1","17","11052","2","2","44375","2021","6","28","7.930555555555556E-2","179.07900000000001",48.718,-125.677,"167","3.1","3.1",17.716,"31.488","2","-999","9",346.2,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","Biological Station"
"10","E413.3B.",413,3,NA,FALSE,"WCOA21","WCOA 2021",2021-06-28,NA,"120118","BS14","18","Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,3.1,"163.49","48.72","-125.68",NA,NA,NA,"7.9166666666666663E-2",NA,1000,NA,NA,NA,NA,NA,NA,NA,"Sean McAllister",NA,FALSE,NA,NA,NA,"Hallway -20˚C",FALSE,FALSE,NA,"33RO20210613","WCOA2021","BS14","12","1","18","11002","2","2","44375","2021","6","28","7.9409722222222215E-2","179.07900000000001",48.718,-125.677,"167","3.1","3.1",17.751,"31.486999999999998","2","-999","9",346.2,"2","-999","-999","9","-999","9","-999","9","-999","-999","9","-999","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","-999","9","keep","Biological Station"
